OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType,Stay,Leave,Total,Rate,Region
https://ror.org/04v76ef78,DE,Kiel,Kiel University,education,6,0,6,1,EU/EEA/CH
https://ror.org/00rcxh774,DE,Cologne,University of Cologne,education,4,0,4,1,EU/EEA/CH
https://ror.org/041nas322,DE,Bonn,University of Bonn,education,20,3,23,0.869565217,EU/EEA/CH
https://ror.org/00a208s56,DE,Chemnitz,Chemnitz University of Technology,education,6,2,8,0.75,EU/EEA/CH
https://ror.org/0281dp749,DE,Berlin,Helmholtz Association of German Research Centres,government,16,7,23,0.695652174,EU/EEA/CH
https://ror.org/04xfq0f34,DE,Aachen,RWTH Aachen University,education,62,29,91,0.681318681,EU/EEA/CH
https://ror.org/04tsk2644,DE,Bochum,Ruhr University Bochum,education,16,8,24,0.666666667,EU/EEA/CH
https://ror.org/010nsgg66,DE,Braunschweig,Technische Universität Braunschweig,education,4,2,6,0.666666667,EU/EEA/CH
https://ror.org/04mz5ra38,DE,Essen,University of Duisburg-Essen,education,4,2,6,0.666666667,EU/EEA/CH
https://ror.org/0304hq317,DE,Hanover,Leibniz University Hannover,education,16,9,25,0.64,EU/EEA/CH
https://ror.org/02kkvpp62,DE,Munich,Technical University of Munich,education,40,28,68,0.588235294,EU/EEA/CH
https://ror.org/00f7hpc57,DE,Erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg,education,10,7,17,0.588235294,EU/EEA/CH
https://ror.org/038t36y30,DE,Heidelberg,Heidelberg University,education,4,3,7,0.571428571,EU/EEA/CH
https://ror.org/01jdpyv68,DE,Saarbrücken,Saarland University,education,8,8,16,0.5,EU/EEA/CH
https://ror.org/01hcx6992,DE,Berlin,Humboldt-Universität zu Berlin,education,6,6,12,0.5,EU/EEA/CH
https://ror.org/02azyry73,DE,Siegen,University of Siegen,education,4,4,8,0.5,EU/EEA/CH
https://ror.org/046ak2485,DE,Berlin,Freie Universität Berlin,education,4,4,8,0.5,EU/EEA/CH
https://ror.org/01rdrb571,DE,Marburg,Philipps University of Marburg,education,2,2,4,0.5,EU/EEA/CH
https://ror.org/03a1kwz48,DE,Tübingen,University of Tübingen,education,2,2,4,0.5,EU/EEA/CH
https://ror.org/05gqaka33,DE,Halle,Martin Luther University Halle-Wittenberg,education,6,7,13,0.461538462,EU/EEA/CH
https://ror.org/042aqky30,DE,Dresden,TU Dresden,education,5,6,11,0.454545455,EU/EEA/CH
https://ror.org/05qpz1x62,DE,Jena,Friedrich Schiller University Jena,education,5,8,13,0.384615385,EU/EEA/CH
https://ror.org/05591te55,DE,Munich,Ludwig-Maximilians-Universität München,education,17,30,47,0.361702128,EU/EEA/CH
https://ror.org/05n911h24,DE,Darmstadt,Technical University of Darmstadt,education,14,28,42,0.333333333,EU/EEA/CH
https://ror.org/04ers2y35,DE,Bremen,University of Bremen,education,3,6,9,0.333333333,EU/EEA/CH
https://ror.org/01k97gp34,DE,Dortmund,TU Dortmund University,education,2,4,6,0.333333333,EU/EEA/CH
https://ror.org/01y9bpm73,DE,Göttingen,University of Göttingen,education,2,5,7,0.285714286,EU/EEA/CH
https://ror.org/04vnq7t77,DE,Stuttgart,University of Stuttgart,education,18,48,66,0.272727273,EU/EEA/CH
https://ror.org/0245cg223,DE,Freiburg im Breisgau,University of Freiburg,education,3,8,11,0.272727273,EU/EEA/CH
https://ror.org/03v4gjf40,DE,Berlin,Technische Universität Berlin,education,4,11,15,0.266666667,EU/EEA/CH
https://ror.org/00ggpsq73,DE,Magdeburg,Otto-von-Guericke University Magdeburg,education,3,10,13,0.230769231,EU/EEA/CH
https://ror.org/00g30e956,DE,Hamburg,Universität Hamburg,education,2,7,9,0.222222222,EU/EEA/CH
https://ror.org/00fbnyb24,DE,Würzburg,University of Würzburg,education,1,4,5,0.2,EU/EEA/CH
https://ror.org/03zdwsf69,DE,Rostock,University of Rostock,education,1,4,5,0.2,EU/EEA/CH
https://ror.org/01hhn8329,DE,Munich,Max Planck Society,nonprofit,3,26,29,0.103448276,EU/EEA/CH
https://ror.org/033bb5z47,DE,Weimar,Bauhaus-Universität Weimar,education,0,4,4,0,EU/EEA/CH
https://ror.org/01aj84f44,DK,Aarhus,Aarhus University,education,8,11,19,0.421052632,EU/EEA/CH
https://ror.org/04qtj9h94,DK,Kongens Lyngby,Technical University of Denmark,education,12,19,31,0.387096774,EU/EEA/CH
https://ror.org/03yrrjy16,DK,Odense,University of Southern Denmark,education,3,6,9,0.333333333,EU/EEA/CH
